1,あきの,
2,はるす,
3,あし,
4,たご,
5,おく,
6,かさ,
7,あまの,
8,わがい,
9,はなの,
10,これ,
11,わたのはら　や,
12,あまつ,
13,つく,
14,みち,
15,きみがため　は,
16,たち,
17,ちは,
18,す,
19,なにはが,
20,わび,
21,いまこ,
22,ふ,
23,つき,
24,この,
25,なにし,
26,をぐ,おぐ
27,みかの,
28,やまざ,
29,こころあ,
30,ありあ,
31,あさぼらけ　あ,
32,やまが,
33,ひさ,
34,たれ,
35,ひとは,
36,なつ,
37,しら,
38,わすら,
39,あさぢ,あさじ
40,しの,
41,こひ,こい
42,ちぎりき,
43,あひ,あい
44,あふこ,おおこ
45,あはれ,あわれ
46,ゆら,
47,やへ,やえ
48,かぜを,
49,みかき,
50,きみがため　を,
51,かく,
52,あけ,
53,なげき,
54,わすれ,
55,たき,
56,あらざ,
57,め,
58,ありま,
59,やす,
60,おほえ,おおえ
61,いに,
62,よを,よお
63,いまは,
64,あさぼらけ　う,
65,うら,
66,もろ,
67,はるの,
68,こころに,
69,あらし,
70,さ,
71,ゆふ,ゆう
72,おと,
73,たか,
74,うか,
75,ちぎりお,
76,わたのはら　こ,
77,せ,
78,あはぢ,あわじ
79,あきか,
80,ながか,
81,ほ,
82,おもひ,おもい
83,よのなかよ,
84,ながら,
85,よも,
86,なげけ,
87,む,
88,なにはえ,
89,たま,
90,みせ,
91,きり,
92,わがそ,
93,よのなかは,
94,みよ,
95,おほけ,おおけ
96,はなさ,
97,こぬ,
98,かぜそ,
99,ひとも,
100,もも,
