42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,ちぎりき,,形見に　しぼり,チギ　リキ　ちぎり
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,あひ,あい,,愛みて　アイみ
44,逢ふことの　絶えてしなくは　なかなかに,あふことの　たえてしなくは　なかなかに,あふこ,おおこ,しなく　中々に　なかなか,おお　あうこ
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,あはれ,あわれ,いう,あわ　アワレ　トモ　逢われ
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,ゆら,,,ユラ　ゆらのと
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,やへ,やえ,さび　やえ　やえむ,ヤエ　八重むぐ　ムグラ
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,かぜを,,,カゼを　いた　カゼオ
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,みかき,,,ミカキ　キモリ
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,きみがためを,,おし,キミが　おし
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,かく,,えやわ,カク　書くと　ダニ　カクト　角とだ
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,あけ,,しり　もの　とは　くるる,アケ　ヌレバ　塗れば　開けぬ
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,なげき,,,ナゲキ　なき　キツツ
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,わすれ,,行く末　すえ　行く,忘れぢ　レジ　ワスレ
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,たき,,,タキ　ノオトワ
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,あらざ,,他の　思い出　おもいで,アラザ　ラム　このよ　アラ座　ザラ
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,め,,,メグ　巡り　あいて　開い
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,ありま,,,アリマ　有間山
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,やす,,夜更け　らわで,安らわ　ヤス　らわで　ヤスラ　寝な
60,大江山　いく野の道の　遠ければ,おおえやま　いくののみちの　とおければ,おほえ,おおえ,,オオエ
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,いに,,,古の　えの　いにしえ　奈良の　イニ
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,よを,よお,,ヨヲ　ヨオ　込めて　世を
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,いまは,,おもい　ばかり,イマは　思い　おもい
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,あさぼらけう,,,宇治　アサボ
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,うら,,干さぬ　袖　袖だ　もの,ウラ　ほさぬ　ウラミ　干さぬ
