札ID,総単語数,総文字数,手動単語リスト,2句目単語リスト,3句目以降単語リスト
62,13,31,,鳥の 鳥の空 音は 空音は とり のそ らね らねは りのそ ねは,謀る 謀ると とも
63,13,32,おもい ばかり,思ひ 思ひ絶 なむ えなむ おも ひた えな もひた,とば とばか りを
64,13,31,,宇治 宇治の 川霧 の川霧 うぢ のか はぎ はぎり ぢのか ぎり,たえ たえだ えに
65,13,32,干さぬ 袖だ もの,ほさ ほさぬ だに 袖だに ぬそ でだ でだに さぬそ,ある あるも
66,13,32,あわれ 思え と思え,あは あはれ 思へ と思へ れと おも おもへ はれと もへ,山桜
67,13,30,,夢ば 夢ばか なる りなる ゆめ ばか りな めばか,手枕 手枕に 枕に たま くら
68,13,32,,あら あらで 夜に き夜に でう きよ きよに らでう よに,長ら 長らへ へば らへば
69,13,31,,三室 三室の 山の の山の みむ ろの やま やまの むろの まの,もみ もみぢ 葉は
70,13,31,眺む,宿を 宿を立 でて 出でて やど をた ちい いでて どをた,なが ながむ れば
71,13,31,,門田 門田の 稲葉 の稲葉 かど たの いな いなば どたの なば,訪れ 訪れて れて
72,13,31,,高師 高師の 浜の の浜の たか しの はま はまの かしの まの,あだ あだ波 波は
73,13,31,,尾の 尾の上 の桜 上の桜 をの への さく さくら のへの くら,咲き 咲きに けり
74,13,31,,人を 人を初 瀬の 初瀬の ひと をは つせ つせの とをは せの,山お 山おろ しよ
75,13,31,,させ させも 露を が露を もが つゆ つゆを せもが ゆを,命に 命にて にて いの
76,13,32,,漕ぎ 漕ぎ出 れば 見れば こぎ いで てみ みれば ぎいで,ひさ ひさか たの かたの
77,13,30,,岩に 岩にせ るる かるる いは にせ かる はにせ,滝川 滝川の 川の たき がは
78,13,31,,通ふ 通ふ千 鳥の 千鳥の かよ ふち どり どりの よふち りの,鳴く 鳴く声 声に
79,13,32,,たな たなび 雲の く雲の びく くも くもの なびく もの,絶え 絶え間 より 間より
80,13,31,,心も 心も知 らず 知らず ここ ろも しら しらず ころも,黒髪 黒髪の 髪の くろ
81,13,31,眺む,鳴き 鳴きつ 方を る方を なき つる かた かたを きつる たを,なが ながむ
82,13,32,,さて さても 命は も命は もい のち のちは てもい ちは,ある あるも のを ものを
83,13,31,,道こ 道こそ けれ なけれ みち こそ なけ ちこそ,思ひ 思ひ入 入る ひ入る おも
84,13,33,長らえ この頃 偲ばれ,また またこ ろや ごろや この ごろ たこの,しの しのば れむ
85,13,31,おもう 思う,物思 物思ふ ろは ころは もの おも ふこ のおも,明け 明けや らで
86,13,31,,月や 月やは 物を は物を つき やは もの ものを きやは のを,思は 思はす する
87,13,31,,露も 露もま 干ぬ だ干ぬ つゆ もま だひ だひぬ ゆもま ひぬ,真木 真木の 葉に
88,13,31,,蘆の 蘆のか ねの りねの あし のか りね しのか,ひと ひとよ ゆゑ よゆゑ よゆ
89,13,34,絶えねば,絶え 絶えな えね 絶えね たえ なば たえね えなば,なが ながら えば らえば
90,13,32,おじま,雄島 雄島の 人の 海人の をじ まの あま あまの じまの,袖だ 袖だに にも
91,13,32,しろに なくや 霜夜,鳴く 鳴くや 夜の 霜夜の なく やし もよ もよの くやし よの,
92,13,32,,潮干 潮干に えぬ 見えぬ しほ ひに みえ みえぬ ほひに,沖の 沖の石 石の の石の
93,13,30,,常に 常にも もな がもな つね にも がも ねにも,渚漕 渚漕ぐ 漕ぐ なぎ さこ
94,13,31,,山の 山の秋 秋風 の秋風 やま のあ きか きかぜ まのあ かぜ,さよ さよ更 けて
95,13,31,おおう おお,憂き 憂き世 民に の民に うき よの たみ たみに きよの みに,おほ
96,13,31,,嵐の 嵐の庭 庭の の庭の あら しの には にはの らしの はの,雪な 雪なら らで
97,13,31,,松帆 松帆の 浦の の浦の まつ ほの うら うらの つほの らの,夕な 夕なぎ ぎに
98,13,31,,楢の 楢の小 川の 小川の なら のを がは がはの らのを はの,夕暮 夕暮は 暮は
99,13,32,あじき,人も 人も恨 めし 恨めし ひと もう らめ らめし ともう,あぢ あぢき なく
100,13,31,,古き 古き軒 端の 軒端の ふる きの きば きばの るきの ばの,しの しのぶ にも
