札番号,元の漢字,元のひらがな,元の現代語,単語数,総文字数（満点）,決まり字,現代語発音（全体）,漢字パーツ(1句目),ひらがなパーツ(1句目)
45,あはれとも　いふべき人は　思おえで,あはれとも　いふべきひとは　おもおえで,あわれ,5,13,あはれ,あわれ,あは とも れとも,
46,由良の門を　渡る舟人　かぢを絶え,ゆらのとを　わたるふなびと　かぢをたえ,,5,12,ゆら,,由良 由良の 門を の門を,
47,八重むぐら　しげれる宿の　さびしきに,やへむぐら　しげれるやどの　さびしきに,やえ,5,11,やへ,やえ,八重 八重む ぐら,
48,風をいたみ　岩うつ波の　おのれのみ,かぜをいたみ　いはうつなみの　おのれのみ,,5,13,かぜを,,風を 風をい たみ いたみ,
49,御垣守　衛士のたく火の　夜は燃え,みかきもり　ゑじのたくひの　よるはもえ,,5,12,みかき,,御垣 御垣守 垣守,みか
50,君がため　惜しからざりし　命さへ,きみがため　をしからざりし　いのちさへ,,5,16,きみがためを,,君が 君がた ため がため,
51,かくとだに　えやは伊吹の　さしも草,かくとだに　えやはいぶきの　さしもぐさ,,5,12,かく,,かくと だに とだに,とだ
52,明けぬれば　暮るるものとは　知りながら,あけぬれば　くるるものとは　しりながら,,5,12,あけ,,明け 明けぬ れば ぬれば,
53,嘆きつつ　ひとり寝る夜の　明くる間は,なげきつつ　ひとりねるよの　あくるまは,,5,13,なげき,,嘆き 嘆きつ つつ きつつ,
54,忘れじの　ゆく末までは　かたければ,わすれじの　ゆくすゑまでは　かたければ,,5,13,わすれ,,忘れ 忘れじ じの れじの,
55,滝の音は　絶えて久しく　なりぬれど,たきのおとは　たえてひさしく　なりぬれど,,5,12,たき,,滝の 滝の音 音は の音は,
56,あらざらむ　この世のほかの　思ひ出に,あらざらむ　このよのほかの　おもひでに,,5,12,あらざ,,あら らむ ざらむ,ざら
57,めぐり逢ひて　見しやそれとも　わかぬ間に,めぐりあひて　みしやそれとも　わかぬまに,,5,11,め,,めぐ めぐり ひて 逢ひて,
58,有馬山　猪名の笹原　風吹けば,ありまやま　ゐなのささはら　かぜふけば,,5,12,ありま,,有馬 有馬山 馬山,あり
59,やすらはで　寝なましものを　さ夜更けて,やすらはで　ねなましものを　さよふけて,,5,12,やす,,やすら はで らはで,らは
60,大江山　いく野の道の　遠ければ,おほえやま　いくののみちの　とおければ,おおえ,5,13,おほえ,おおえ,大江 大江山 江山,
61,いにしへの　奈良の都の　八重桜,いにしへの　ならのみやこの　やへざくら,,5,12,いに,,いにし への しへの,しへ
62,夜をこめて　鳥の空音は　謀るとも,よをこめて　とりのそらねは　はかるとも,よお,5,11,よを,よお,夜を 夜をこ めて,
63,今はただ　思ひ絶えなむ　とばかりを,いまはただ　おもひたえなむ　とばかりを,,5,13,いまは,,今は 今はた ただ はただ,
64,朝ぼらけ　宇治の川霧　たえだえに,あさぼらけ　うぢのかはぎり　たえだえに,,5,16,あさぼらけう,,朝ぼ 朝ぼら らけ ぼらけ,
65,恨みわび　ほさぬ袖だに　あるものを,うらみわび　ほさぬそでだに　あるものを,,5,12,うら,,恨み 恨みわ わび みわび,
66,もろともに　あはれと思へ　山桜,もろともに　あはれとおもへ　やまざくら,,5,12,もろ,,もろと もに ともに,とも
67,春の夜の　夢ばかりなる　手枕に,はるのよの　ゆめばかりなる　たまくらに,,5,13,はるの,,春の 春の夜 夜の の夜の,
68,心にも　あらで憂き夜に　長らへば,こころにも　あらでうきよに　ながらへば,,5,13,こころに,,心に 心にも にも,ここ
69,嵐吹く　三室の山の　もみぢ葉は,あらしふく　みむろのやまの　もみぢばは,,5,12,あらし,,嵐吹 嵐吹く 吹く,あら
70,寂しさに　宿を立ち出でて　ながむれば,さびしさに　やどをたちいでて　ながむれば,,5,11,さ,,寂し 寂しさ さに しさに,
71,夕されば　門田の稲葉　訪れて,ゆふされば　かどたのいなば　おとづれて,ゆう,5,11,ゆふ,ゆう,夕さ 夕され れば,
72,音に聞く　高師の浜の　あだ波は,おとにきく　たかしのはまの　あだなみは,,5,12,おと,,音に 音に聞 聞く に聞く,
73,高砂の　尾の上の桜　咲きにけり,たかさごの　をのへのさくら　さきにけり,,5,11,たか,,高砂 高砂の 砂の,さご
74,憂かりける　人を初瀬の　山おろしよ,うかりける　ひとをはつせの　やまおろしよ,,5,12,うか,,憂か 憂かり ける りける,
75,契りおきし　させもが露を　命にて,ちぎりおきし　させもがつゆを　いのちにて,,5,14,ちぎりお,,契り 契りお きし おきし,
76,わたの原　漕ぎ出でて見れば　ひさかたの,わたのはら　こぎいでてみれば　ひさかたの,,5,16,わたのはらこ,,わた わたの の原 たの原,
77,瀬をはやみ　岩にせかるる　滝川の,せをはやみ　いはにせかるる　たきがはの,,5,11,せ,,瀬を 瀬をは やみ はやみ,
78,淡路島　通ふ千鳥の　鳴く声に,あはぢしま　かよふちどりの　なくこゑに,あわじ,5,13,あはぢ,あわじ,淡路 淡路島 路島,
79,秋風に　たなびく雲の　絶え間より,あきかぜに　たなびくくもの　たえまより,,5,12,あきか,,秋風 秋風に 風に,あき
80,長からむ　心も知らず　黒髪の,ながからむ　こころもしらず　くろかみの,,5,13,ながか,,長か 長から らむ からむ,
81,ほととぎす　鳴きつる方を　ながむれば,ほととぎす　なきつるかたを　ながむれば,,5,11,ほ,,ほと ほとと ぎす とぎす,
