札番号,元の漢字,元のひらがな,単語数(元システム),満点スコア(元システム),決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
11,わたの原　八十島かけて　漕ぎ出でぬと,わたのはら　やそしまかけて　こぎいでぬと,22,56,わたのはらや,,わた わたの の原 たの原,八十 八十島 けて かけて,漕ぎ 漕ぎ出 ぬと でぬと,,,のは のはら はら,やそ しま かけ そしま,こぎ いで,,
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,25,60,あまつ,,天つ 天つ風 つ風,雲の 雲の通 ひ路 通ひ路,吹き 吹き閉 ぢよ 閉ぢよ,,,あま つか つかぜ かぜ,くも のか よひ よひぢ ものか ひぢ,ふき とぢ とぢよ,,
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,24,57,つく,,筑波 筑波嶺 嶺の 波嶺の,峰よ 峰より つる 落つる,男女 男女川 女川,,,ばね ばねの ねの,みね より おつ おつる ねより,みな のが のがは がは,,
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,20,47,みち,,陸奥 陸奥の 奥の,しの しのぶ ずり ぢずり,誰ゆ 誰ゆゑ ゑに ゆゑに,,,のく のくの くの,ぶも ぢず のぶも,たれ ゆゑ,,
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,24,61,きみがためは,,君が 君がた ため がため,春の 春の野 でて 出でて,若菜 若菜摘 摘む 菜摘む,,,きみ がた,はる のの にい いでて るのの,わか なつ なつむ つむ,,
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,24,58,たち,,立ち 立ち別 別れ ち別れ,いな いなば 山の の山の,峰に 峰に生 ふる 生ふる,,,わか わかれ かれ,ばの やま やまの なばの まの,みね にお おふる,,
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがは,21,50,ちは,,ちはや ぶる やぶる,神代 神代も かず 聞かず,竜田 竜田川 田川,,,やぶ,かみ よも きか きかず みよも,たつ たが たがは がは,,
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,24,56,す,,住の 住の江 江の の江の,岸に 岸に寄 る波 寄る波,よる よるさ へや さへや,,,すみ のえ のえの えの,きし によ るな るなみ しによ なみ,さへ,,
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,25,61,なにはが,,難波 難波潟 波潟,短き 短き蘆 蘆の き蘆の,ふし ふしの 間も の間も,,,なに はが はがた がた,みじ かき あし あしの じかき しの,のま のまも まも,,
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,20,48,わび,,わびぬ れば ぬれば,今は 今はた なじ おなじ,難波 難波な なる 波なる,,,ぬれ,いま はた おな まはた,なに はな はなる,,
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,23,55,いまこ,,今来 今来む むと 来むと,言ひ 言ひし りに かりに,長月 長月の 月の,,,いま こむ こむと,いひ しば かり ひしば,なが つき つきの きの,,
