札番号,元の漢字,元のひらがな,調整後単語数,調整後満点スコア,登録単語リスト
12,天つ風　雲の通ひ路　吹き閉ぢよ,あまつかぜ　くものかよひぢ　ふきとぢよ,13,31,雲の 雲の通 ひ路 通ひ路 くも のか よひ よひぢ ものか ひぢ 吹き 吹き閉 ぢよ
13,筑波嶺の　峰より落つる　男女川,つくばねの　みねよりおつる　みなのがは,13,31,峰よ 峰より つる 落つる みね より おつ おつる ねより 男女 男女川 女川 みな
14,陸奥の　しのぶもぢずり　誰ゆゑに,みちのくの　しのぶもぢずり　たれゆゑに,13,31,もじ ずり ゆえ しの しのぶ ぢずり ぶも ぢず のぶも 誰ゆ 誰ゆゑ ゑに ゆゑに
15,君がため　春の野に出でて　若菜摘む,きみがため　はるののにいでて　わかなつむ,13,32,春の 春の野 でて 出でて はる のの にい いでて るのの 若菜 若菜摘 摘む 菜摘む
16,立ち別れ　いなばの山の　峰に生ふる,たちわかれ　いなばのやまの　みねにおふる,13,32,いな いなば 山の の山の ばの やま やまの なばの まの 峰に 峰に生 ふる 生ふる
17,ちはやぶる　神代も聞かず　竜田川,ちはやぶる　かみよもきかず　たつたがわ,13,32,やふる ふる 神代 神代も かず 聞かず かみ よも きか きかず みよも 竜田 竜田川
18,住の江の　岸に寄る波　よるさへや,すみのえの　きしによるなみ　よるさへや,13,31,岸に 岸に寄 る波 寄る波 きし によ るな るなみ しによ なみ よる よるさ へや
19,難波潟　短き蘆の　ふしの間も,なにはがた　みじかきあしの　ふしのまも,13,31,短き 短き蘆 蘆の き蘆の みじ かき あし あしの じかき しの ふし ふしの 間も
20,わびぬれば　今はたおなじ　難波なる,わびぬれば　いまはたおなじ　なにはなる,13,31,はた なにわ なる 同じ 今は 今はた なじ おなじ いま おな まはた 難波 難波な
21,今来むと　言ひしばかりに　長月の,いまこむと　いひしばかりに　ながつきの,13,33,こんと 言いし いいし 言ひ 言ひし りに かりに いひ しば かり ひしば 長月 長月の
22,吹くからに　秋の草木の　しをるれば,ふくからに　あきのくさきの　しをるれば,13,31,秋の 秋の草 木の 草木の あき のく さき さきの きのく きの しを しをる れば
23,月見れば　ちぢにものこそ　悲しけれ,つきみれば　ちぢにものこそ　かなしけれ,13,32,ちじ ちじに ちぢ ちぢに こそ のこそ にも のこ ぢにも 悲し 悲しけ けれ しけれ
24,このたびは　ぬさも取りあへず　手向山,このたびは　ぬさもとりあへず　たむけやま,13,37,あえず たむけ とりあえず この度は ぬさ ぬさも へず あへず もと りあ さもと 手向 手向山
25,名にし負はば　逢坂山の　さねかづら,なにしおはば　あふさかやまの　さねかづら,13,31,逢坂 逢坂山 山の 坂山の あふ さか やま やまの ふさか まの さね さねか づら
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,13,31,峰の 峰のも ぢ葉 みぢ葉 みね のも みぢ みぢば ねのも ぢば 心あ 心あら らば
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,13,32,いづみ いずみ なが わき わきて るる 流るる てな がる がるる きてな 泉川 いづ
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,13,32,冬ぞ 冬ぞ寂 しさ 寂しさ ふゆ ぞさ びし びしさ ゆぞさ まさ まさり ける りける
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,13,31,折ら 折らば らむ 折らむ をら ばや をらむ らばや 初霜 初霜の 霜の はつ しも
