札番号,元の漢字,元のひらがな,単語数,総文字数（満点スコア）,決まり字,現代語発音（全体）,漢字パーツ(1句目),漢字パーツ(2句目),漢字パーツ(3句目),漢字パーツ(4句目),漢字パーツ(5句目),ひらがなパーツ(1句目),ひらがなパーツ(2句目),ひらがなパーツ(3句目),ひらがなパーツ(4句目),ひらがなパーツ(5句目)
26,小倉山　峰のもみぢ葉　心あらば,をぐらやま　みねのもみぢば　こころあらば,21,49,をぐ,おぐ,小倉 小倉山 倉山,峰の 峰のも ぢ葉 みぢ葉,心あ あらば,,,らや らやま やま,みね のも みぢ みぢば ねのも ぢば,ここ,,
27,みかの原　わきて流るる　泉川,みかのはら　わきてながるる　いづみがは,18,44,みかの,,みか の原 かの原,わき わきて るる 流るる,泉川,,,のは のはら はら,てな がる がるる きてな,いづ みがは,,
28,山里は　冬ぞ寂しさ　まさりける,やまざとは　ふゆぞさびしさ　まさりける,19,46,やまざ,,山里 山里は 里は,冬ぞ 冬ぞ寂 しさ 寂しさ,まさ りける,,,やま ざと ざとは とは,ふゆ ぞさ びし びしさ ゆぞさ,,,
29,心あてに　折らばや折らむ　初霜の,こころあてに　をらばやをらむ　はつしもの,19,48,こころあ,,心あ 心あて てに あてに,折ら 折らば らむ 折らむ,初霜 初霜の,,,ここ ろあ,をら ばや をらむ らばや,はつ しもの,,
30,有明の　つれなく見えし　別れより,ありあけの　つれなくみえし　わかれより,19,46,ありあ,,有明 有明の 明の,つれ つれな えし 見えし,別れ れより,,,あり あけ あけの けの,なく みえ みえし れなく,わか,,
31,朝ぼらけ　有明の月と　見るまでに,あさぼらけ　ありあけのつきと　みるまでに,20,51,あさぼらけあ,,朝ぼ 朝ぼら らけ ぼらけ,有明 有明の 月と の月と,見る までに,,,あさ ぼら,あり あけ のつ つきと りあけ きと,みる,,
32,山川に　風のかけたる　しがらみは,やまがはに　かぜのかけたる　しがらみは,18,43,やまが,,山川 山川に 川に,風の 風のか たる けたる,しが らみは,,,やま がは がはに はに,かぜ のか けた ぜのか,,,
33,ひさかたの　光のどけき　春の日に,ひさかたの　ひかりのどけき　はるのひに,17,41,ひさ,,ひさか たの かたの,光の 光のど けき どけき,春の の日に,,,かた,ひか りの どけ かりの,はる のひに,,
34,誰をかも　知る人にせむ　高砂の,たれをかも　しるひとにせむ　たかさごの,18,43,たれ,,誰を 誰をか かも をかも,知る 知る人 せむ にせむ,高砂 高砂の,,,をか,しる ひと にせ るひと,たか さごの,,
35,人はいさ　心も知らず　ふるさとは,ひとはいさ　こころもしらず　ふるさとは,18,44,ひとは,,人は 人はい いさ はいさ,心も 心も知 らず 知らず,ふる さとは,,,ひと はい,ここ ろも しら しらず ころも,,,
36,夏の夜は　まだ宵ながら　明けぬるを,なつのよは　まだよひながら　あけぬるを,18,43,なつ,,夏の 夏の夜 夜は の夜は,まだ まだ宵 がら ながら,明け ぬるを,,,のよ のよは よは,よひ なが だよひ,あけ,,
37,白露に　風の吹きしく　秋の野は,しらつゆに　かぜのふきしく　あきののは,19,45,しら,,白露 白露に 露に,風の 風の吹 しく きしく,秋の の野は,,,つゆ つゆに ゆに,かぜ のふ きし ぜのふ,あき ののは,,
38,忘らるる　身をば思はず　誓ひてし,わすらるる　みをばおもはず　ちかひてし,19,46,わすら,,忘ら 忘らる るる らるる,身を 身をば はず 思はず,誓ひ ひてし,,,わす らる,みを ばお もは もはず をばお,ちか,,
39,浅茅生の　小野の篠原　しのぶれど,あさぢふの　をののしのはら　しのぶれど,22,54,あさぢ,あさじ,浅茅 浅茅生 生の 茅生の,小野 小野の 篠原 の篠原,しの ぶれど,,,あさ ぢふ ぢふの ふの,をの のし のは のはら ののし はら,,,
40,しのぶれど　色に出でにけり　わが恋は,しのぶれど　いろにいでにけり　わがこひは,16,39,しの,,しのぶ れど ぶれど,色に 色に出 けり にけり,わが が恋は,,,ぶれ,いろ にい でに ろにい,こひは,,
41,恋すてふ　わが名はまだき　立ちにけり,こひすてふ　わがなはまだき　たちにけり,17,40,こひ,こい,恋す 恋すて てふ すてふ,わが わが名 だき まだき,立ち にけり,,,すて,なは まだ がなは,たち,,
42,契りきな　かたみに袖を　しぼりつつ,ちぎりきな　かたみにそでを　しぼりつつ,18,45,ちぎりき,,契り 契りき きな りきな,かた かたみ 袖を に袖を,しぼ りつつ,,,ちぎ りき,みに そで そでを たみに でを,,,
43,逢ひ見ての　のちの心に　くらぶれば,あひみての　のちのこころに　くらぶれば,19,46,あひ,あい,逢ひ 逢ひ見 ての 見ての,のち のちの 心に の心に,くら ぶれば,,,みて みての,のこ ころ ころに ちのこ ろに,,,
