Timestamp,GPU Name,GPU Util (%),VRAM Used (MB),VRAM Total (MB),Temp (C)
2026-09-01 17:58:42,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,45.0
2026-09-01 17:58:53,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,44.0
2026-09-01 17:59:03,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,44.0
2026-09-01 17:59:13,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,43.0
2026-09-01 17:59:23,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,43.0
2026-09-01 17:59:33,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,43.0
2026-09-01 17:59:43,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 17:59:53,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:00:03,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:00:13,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:00:23,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:00:33,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:00:44,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,41.0
2026-09-01 18:00:54,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,42.0
2026-09-01 18:01:04,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,43.0
2026-09-01 18:01:14,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,44.0
2026-09-01 18:01:24,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,44.0
2026-09-01 18:01:34,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,46.0
2026-09-01 18:01:44,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,47.0
2026-09-01 18:01:54,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,47.0
2026-09-01 18:02:04,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,48.0
2026-09-01 18:02:14,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,48.0
2026-09-01 18:02:25,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,48.0
2026-09-01 18:02:35,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,48.0
2026-09-01 18:02:45,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,48.0
2026-09-01 18:02:55,NVIDIA GeForce RTX 5070 Laptop GPU,0.0,160.0,8151.0,49.0
